,农、林、牧、渔业(A),采矿业(B),制造业(C),电力、热力、燃气及水生产和供应业(D),建筑业(E),批发和零售业(F),交通运输、仓储和邮政业(G),住宿和餐饮业(H),信息传输、软件和信息技术服务业(I),金融业(J),房地产业(K),租赁和商务服务业(L),科学研究和技术服务业(M),水利、环境和公共设施管理业(N),居民服务、修理和其他服务业(O),教育(P),卫生和社会工作(Q),文化、体育和娱乐业(R),综合(S)
1701,,,600343.SH,,,,,,,,,,,,,,,,
1702,,,600388.SH,,,,,,,,,,,,,,,,
1703,,,600499.SH,,,,,,,,,,,,,,,,
1704,,,600526.SH,,,,,,,,,,,,,,,,
1705,,,600528.SH,,,,,,,,,,,,,,,,
1706,,,600545.SH,,,,,,,,,,,,,,,,
1707,,,600560.SH,,,,,,,,,,,,,,,,
1708,,,600579.SH,,,,,,,,,,,,,,,,
1709,,,600582.SH,,,,,,,,,,,,,,,,
1710,,,600587.SH,,,,,,,,,,,,,,,,
1711,,,600761.SH,,,,,,,,,,,,,,,,
1712,,,600815.SH,,,,,,,,,,,,,,,,
1713,,,600817.SH,,,,,,,,,,,,,,,,
1714,,,600843.SH,,,,,,,,,,,,,,,,
1715,,,600855.SH,,,,,,,,,,,,,,,,
1716,,,600860.SH,,,,,,,,,,,,,,,,
1717,,,600879.SH,,,,,,,,,,,,,,,,
1718,,,600984.SH,,,,,,,,,,,,,,,,
1719,,,601038.SH,,,,,,,,,,,,,,,,
1720,,,601100.SH,,,,,,,,,,,,,,,,
1721,,,601106.SH,,,,,,,,,,,,,,,,
1722,,,601218.SH,,,,,,,,,,,,,,,,
1723,,,601608.SH,,,,,,,,,,,,,,,,
1724,,,601798.SH,,,,,,,,,,,,,,,,
1725,,,601908.SH,,,,,,,,,,,,,,,,
1726,,,603012.SH,,,,,,,,,,,,,,,,
1727,,,603029.SH,,,,,,,,,,,,,,,,
1728,,,603032.SH,,,,,,,,,,,,,,,,
1729,,,603036.SH,,,,,,,,,,,,,,,,
1730,,,603076.SH,,,,,,,,,,,,,,,,
1731,,,603081.SH,,,,,,,,,,,,,,,,
1732,,,603088.SH,,,,,,,,,,,,,,,,
1733,,,603095.SH,,,,,,,,,,,,,,,,
1734,,,603159.SH,,,,,,,,,,,,,,,,
1735,,,603169.SH,,,,,,,,,,,,,,,,
1736,,,603185.SH,,,,,,,,,,,,,,,,
1737,,,603203.SH,,,,,,,,,,,,,,,,
1738,,,603283.SH,,,,,,,,,,,,,,,,
1739,,,603289.SH,,,,,,,,,,,,,,,,
1740,,,603301.SH,,,,,,,,,,,,,,,,
1741,,,603308.SH,,,,,,,,,,,,,,,,
1742,,,603309.SH,,,,,,,,,,,,,,,,
1743,,,603311.SH,,,,,,,,,,,,,,,,
1744,,,603324.SH,,,,,,,,,,,,,,,,
1745,,,603337.SH,,,,,,,,,,,,,,,,
1746,,,603338.SH,,,,,,,,,,,,,,,,
1747,,,603396.SH,,,,,,,,,,,,,,,,
1748,,,603638.SH,,,,,,,,,,,,,,,,
1749,,,603656.SH,,,,,,,,,,,,,,,,
1750,,,603666.SH,,,,,,,,,,,,,,,,
1751,,,603686.SH,,,,,,,,,,,,,,,,
1752,,,603690.SH,,,,,,,,,,,,,,,,
1753,,,603789.SH,,,,,,,,,,,,,,,,
1754,,,603800.SH,,,,,,,,,,,,,,,,
1755,,,603855.SH,,,,,,,,,,,,,,,,
1756,,,603895.SH,,,,,,,,,,,,,,,,
1757,,,603901.SH,,,,,,,,,,,,,,,,
1758,,,603912.SH,,,,,,,,,,,,,,,,
1759,,,603917.SH,,,,,,,,,,,,,,,,
1760,,,603956.SH,,,,,,,,,,,,,,,,
1761,,,603960.SH,,,,,,,,,,,,,,,,
1762,,,603987.SH,,,,,,,,,,,,,,,,
1763,,,605186.SH,,,,,,,,,,,,,,,,
1764,,,605305.SH,,,,,,,,,,,,,,,,
1765,,,605369.SH,,,,,,,,,,,,,,,,
1766,,,688001.SH,,,,,,,,,,,,,,,,
1767,,,688003.SH,,,,,,,,,,,,,,,,
1768,,,688006.SH,,,,,,,,,,,,,,,,
1769,,,688012.SH,,,,,,,,,,,,,,,,
1770,,,688013.SH,,,,,,,,,,,,,,,,
1771,,,688016.SH,,,,,,,,,,,,,,,,
1772,,,688021.SH,,,,,,,,,,,,,,,,
1773,,,688022.SH,,,,,,,,,,,,,,,,
1774,,,688028.SH,,,,,,,,,,,,,,,,
1775,,,688029.SH,,,,,,,,,,,,,,,,
1776,,,688037.SH,,,,,,,,,,,,,,,,
1777,,,688050.SH,,,,,,,,,,,,,,,,
1778,,,688067.SH,,,,,,,,,,,,,,,,
1779,,,688071.SH,,,,,,,,,,,,,,,,
1780,,,688085.SH,,,,,,,,,,,,,,,,
1781,,,688090.SH,,,,,,,,,,,,,,,,
1782,,,688092.SH,,,,,,,,,,,,,,,,
1783,,,688096.SH,,,,,,,,,,,,,,,,
1784,,,688097.SH,,,,,,,,,,,,,,,,
1785,,,688101.SH,,,,,,,,,,,,,,,,
1786,,,688108.SH,,,,,,,,,,,,,,,,
1787,,,688113.SH,,,,,,,,,,,,,,,,
1788,,,688121.SH,,,,,,,,,,,,,,,,
1789,,,688128.SH,,,,,,,,,,,,,,,,
1790,,,688139.SH,,,,,,,,,,,,,,,,
1791,,,688155.SH,,,,,,,,,,,,,,,,
1792,,,688161.SH,,,,,,,,,,,,,,,,
1793,,,688198.SH,,,,,,,,,,,,,,,,
1794,,,688200.SH,,,,,,,,,,,,,,,,
1795,,,688215.SH,,,,,,,,,,,,,,,,
1796,,,688218.SH,,,,,,,,,,,,,,,,
1797,,,688277.SH,,,,,,,,,,,,,,,,
1798,,,688301.SH,,,,,,,,,,,,,,,,
1799,,,688309.SH,,,,,,,,,,,,,,,,
1800,,,688310.SH,,,,,,,,,,,,,,,,
1801,,,688312.SH,,,,,,,,,,,,,,,,
1802,,,688314.SH,,,,,,,,,,,,,,,,
1803,,,688328.SH,,,,,,,,,,,,,,,,
1804,,,688329.SH,,,,,,,,,,,,,,,,
1805,,,688335.SH,,,,,,,,,,,,,,,,
1806,,,688358.SH,,,,,,,,,,,,,,,,
1807,,,688377.SH,,,,,,,,,,,,,,,,
1808,,,688378.SH,,,,,,,,,,,,,,,,
1809,,,688383.SH,,,,,,,,,,,,,,,,
1810,,,688389.SH,,,,,,,,,,,,,,,,
1811,,,688425.SH,,,,,,,,,,,,,,,,
1812,,,688499.SH,,,,,,,,,,,,,,,,
1813,,,688501.SH,,,,,,,,,,,,,,,,
1814,,,688516.SH,,,,,,,,,,,,,,,,
1815,,,688518.SH,,,,,,,,,,,,,,,,
1816,,,688529.SH,,,,,,,,,,,,,,,,
1817,,,688551.SH,,,,,,,,,,,,,,,,
1818,,,688556.SH,,,,,,,,,,,,,,,,
1819,,,688559.SH,,,,,,,,,,,,,,,,
1820,,,688580.SH,,,,,,,,,,,,,,,,
1821,,,688596.SH,,,,,,,,,,,,,,,,
1822,,,688607.SH,,,,,,,,,,,,,,,,
1823,,,688613.SH,,,,,,,,,,,,,,,,
1824,,,688617.SH,,,,,,,,,,,,,,,,
1825,,,688626.SH,,,,,,,,,,,,,,,,
1826,,,688630.SH,,,,,,,,,,,,,,,,
1827,,,688633.SH,,,,,,,,,,,,,,,,
1828,,,688659.SH,,,,,,,,,,,,,,,,
1829,,,688677.SH,,,,,,,,,,,,,,,,
1830,,,688700.SH,,,,,,,,,,,,,,,,
1831,,,688718.SH,,,,,,,,,,,,,,,,
1832,,,688789.SH,,,,,,,,,,,,,,,,
1833,,,000030.SZ,,,,,,,,,,,,,,,,
1834,,,000338.SZ,,,,,,,,,,,,,,,,
1835,,,000550.SZ,,,,,,,,,,,,,,,,
1836,,,000559.SZ,,,,,,,,,,,,,,,,
1837,,,000572.SZ,,,,,,,,,,,,,,,,
1838,,,000581.SZ,,,,,,,,,,,,,,,,
1839,,,000625.SZ,,,,,,,,,,,,,,,,
1840,,,000700.SZ,,,,,,,,,,,,,,,,
1841,,,000800.SZ,,,,,,,,,,,,,,,,
1842,,,000868.SZ,,,,,,,,,,,,,,,,
1843,,,000901.SZ,,,,,,,,,,,,,,,,
1844,,,000951.SZ,,,,,,,,,,,,,,,,
1845,,,000957.SZ,,,,,,,,,,,,,,,,
1846,,,000980.SZ,,,,,,,,,,,,,,,,
1847,,,000981.SZ,,,,,,,,,,,,,,,,
1848,,,002048.SZ,,,,,,,,,,,,,,,,
1849,,,002085.SZ,,,,,,,,,,,,,,,,
1850,,,002101.SZ,,,,,,,,,,,,,,,,
1851,,,002126.SZ,,,,,,,,,,,,,,,,
1852,,,002190.SZ,,,,,,,,,,,,,,,,
1853,,,002213.SZ,,,,,,,,,,,,,,,,
1854,,,002239.SZ,,,,,,,,,,,,,,,,
1855,,,002265.SZ,,,,,,,,,,,,,,,,
1856,,,002283.SZ,,,,,,,,,,,,,,,,
1857,,,002284.SZ,,,,,,,,,,,,,,,,
1858,,,002328.SZ,,,,,,,,,,,,,,,,
1859,,,002355.SZ,,,,,,,,,,,,,,,,
1860,,,002363.SZ,,,,,,,,,,,,,,,,
1861,,,002406.SZ,,,,,,,,,,,,,,,,
1862,,,002434.SZ,,,,,,,,,,,,,,,,
1863,,,002448.SZ,,,,,,,,,,,,,,,,
1864,,,002454.SZ,,,,,,,,,,,,,,,,
1865,,,002488.SZ,,,,,,,,,,,,,,,,
1866,,,002510.SZ,,,,,,,,,,,,,,,,
1867,,,002536.SZ,,,,,,,,,,,,,,,,
1868,,,002590.SZ,,,,,,,,,,,,,,,,
1869,,,002592.SZ,,,,,,,,,,,,,,,,
1870,,,002593.SZ,,,,,,,,,,,,,,,,
1871,,,002594.SZ,,,,,,,,,,,,,,,,
1872,,,002662.SZ,,,,,,,,,,,,,,,,
1873,,,002664.SZ,,,,,,,,,,,,,,,,
1874,,,002703.SZ,,,,,,,,,,,,,,,,
1875,,,002708.SZ,,,,,,,,,,,,,,,,
1876,,,002715.SZ,,,,,,,,,,,,,,,,
1877,,,002725.SZ,,,,,,,,,,,,,,,,
1878,,,002765.SZ,,,,,,,,,,,,,,,,
1879,,,002863.SZ,,,,,,,,,,,,,,,,
1880,,,002865.SZ,,,,,,,,,,,,,,,,
1881,,,002870.SZ,,,,,,,,,,,,,,,,
1882,,,002920.SZ,,,,,,,,,,,,,,,,
1883,,,300100.SZ,,,,,,,,,,,,,,,,
1884,,,300176.SZ,,,,,,,,,,,,,,,,
1885,,,300258.SZ,,,,,,,,,,,,,,,,
1886,,,300304.SZ,,,,,,,,,,,,,,,,
1887,,,300428.SZ,,,,,,,,,,,,,,,,
1888,,,300432.SZ,,,,,,,,,,,,,,,,
1889,,,300507.SZ,,,,,,,,,,,,,,,,
1890,,,300580.SZ,,,,,,,,,,,,,,,,
1891,,,300585.SZ,,,,,,,,,,,,,,,,
1892,,,300643.SZ,,,,,,,,,,,,,,,,
1893,,,300652.SZ,,,,,,,,,,,,,,,,
1894,,,300680.SZ,,,,,,,,,,,,,,,,
1895,,,300695.SZ,,,,,,,,,,,,,,,,
1896,,,300733.SZ,,,,,,,,,,,,,,,,
1897,,,300742.SZ,,,,,,,,,,,,,,,,
1898,,,300745.SZ,,,,,,,,,,,,,,,,
1899,,,300863.SZ,,,,,,,,,,,,,,,,
1900,,,300893.SZ,,,,,,,,,,,,,,,,
1901,,,300926.SZ,,,,,,,,,,,,,,,,
1902,,,300969.SZ,,,,,,,,,,,,,,,,
1903,,,300978.SZ,,,,,,,,,,,,,,,,
1904,,,301005.SZ,,,,,,,,,,,,,,,,
1905,,,301007.SZ,,,,,,,,,,,,,,,,
1906,,,301039.SZ,,,,,,,,,,,,,,,,
1907,,,600006.SH,,,,,,,,,,,,,,,,
1908,,,600066.SH,,,,,,,,,,,,,,,,
1909,,,600081.SH,,,,,,,,,,,,,,,,
1910,,,600104.SH,,,,,,,,,,,,,,,,
1911,,,600148.SH,,,,,,,,,,,,,,,,
1912,,,600166.SH,,,,,,,,,,,,,,,,
1913,,,600178.SH,,,,,,,,,,,,,,,,
1914,,,600213.SH,,,,,,,,,,,,,,,,
1915,,,600303.SH,,,,,,,,,,,,,,,,
1916,,,600375.SH,,,,,,,,,,,,,,,,
1917,,,600418.SH,,,,,,,,,,,,,,,,
1918,,,600480.SH,,,,,,,,,,,,,,,,
1919,,,600501.SH,,,,,,,,,,,,,,,,
1920,,,600523.SH,,,,,,,,,,,,,,,,
1921,,,600609.SH,,,,,,,,,,,,,,,,
1922,,,600686.SH,,,,,,,,,,,,,,,,
1923,,,600698.SH,,,,,,,,,,,,,,,,
1924,,,600699.SH,,,,,,,,,,,,,,,,
1925,,,600733.SH,,,,,,,,,,,,,,,,
1926,,,600741.SH,,,,,,,,,,,,,,,,
1927,,,600742.SH,,,,,,,,,,,,,,,,
1928,,,600933.SH,,,,,,,,,,,,,,,,
1929,,,600960.SH,,,,,,,,,,,,,,,,
1930,,,601127.SH,,,,,,,,,,,,,,,,
1931,,,601238.SH,,,,,,,,,,,,,,,,
1932,,,601279.SH,,,,,,,,,,,,,,,,
1933,,,601633.SH,,,,,,,,,,,,,,,,
1934,,,601689.SH,,,,,,,,,,,,,,,,
1935,,,601717.SH,,,,,,,,,,,,,,,,
1936,,,601777.SH,,,,,,,,,,,,,,,,
1937,,,601799.SH,,,,,,,,,,,,,,,,
1938,,,603006.SH,,,,,,,,,,,,,,,,
1939,,,603009.SH,,,,,,,,,,,,,,,,
1940,,,603013.SH,,,,,,,,,,,,,,,,
1941,,,603035.SH,,,,,,,,,,,,,,,,
1942,,,603037.SH,,,,,,,,,,,,,,,,
1943,,,603085.SH,,,,,,,,,,,,,,,,
1944,,,603089.SH,,,,,,,,,,,,,,,,
1945,,,603121.SH,,,,,,,,,,,,,,,,
1946,,,603158.SH,,,,,,,,,,,,,,,,
1947,,,603161.SH,,,,,,,,,,,,,,,,
1948,,,603166.SH,,,,,,,,,,,,,,,,
1949,,,603178.SH,,,,,,,,,,,,,,,,
1950,,,603179.SH,,,,,,,,,,,,,,,,
1951,,,603197.SH,,,,,,,,,,,,,,,,
1952,,,603239.SH,,,,,,,,,,,,,,,,
1953,,,603286.SH,,,,,,,,,,,,,,,,
1954,,,603305.SH,,,,,,,,,,,,,,,,
1955,,,603306.SH,,,,,,,,,,,,,,,,
1956,,,603319.SH,,,,,,,,,,,,,,,,
1957,,,603335.SH,,,,,,,,,,,,,,,,
1958,,,603358.SH,,,,,,,,,,,,,,,,
1959,,,603586.SH,,,,,,,,,,,,,,,,
1960,,,603596.SH,,,,,,,,,,,,,,,,
1961,,,603730.SH,,,,,,,,,,,,,,,,
1962,,,603758.SH,,,,,,,,,,,,,,,,
1963,,,603767.SH,,,,,,,,,,,,,,,,
1964,,,603768.SH,,,,,,,,,,,,,,,,
1965,,,603786.SH,,,,,,,,,,,,,,,,
1966,,,603788.SH,,,,,,,,,,,,,,,,
1967,,,603809.SH,,,,,,,,,,,,,,,,
1968,,,603922.SH,,,,,,,,,,,,,,,,
1969,,,603926.SH,,,,,,,,,,,,,,,,
1970,,,603949.SH,,,,,,,,,,,,,,,,
1971,,,603950.SH,,,,,,,,,,,,,,,,
1972,,,603982.SH,,,,,,,,,,,,,,,,
1973,,,603997.SH,,,,,,,,,,,,,,,,
1974,,,605005.SH,,,,,,,,,,,,,,,,
1975,,,605018.SH,,,,,,,,,,,,,,,,
1976,,,605088.SH,,,,,,,,,,,,,,,,
1977,,,605128.SH,,,,,,,,,,,,,,,,
1978,,,605133.SH,,,,,,,,,,,,,,,,
1979,,,605151.SH,,,,,,,,,,,,,,,,
1980,,,605228.SH,,,,,,,,,,,,,,,,
1981,,,605319.SH,,,,,,,,,,,,,,,,
1982,,,605333.SH,,,,,,,,,,,,,,,,
1983,,,000008.SZ,,,,,,,,,,,,,,,,
1984,,,000017.SZ,,,,,,,,,,,,,,,,
1985,,,000697.SZ,,,,,,,,,,,,,,,,
1986,,,000738.SZ,,,,,,,,,,,,,,,,
1987,,,000768.SZ,,,,,,,,,,,,,,,,
1988,,,000913.SZ,,,,,,,,,,,,,,,,
1989,,,000976.SZ,,,,,,,,,,,,,,,,
1990,,,001696.SZ,,,,,,,,,,,,,,,,
1991,,,002013.SZ,,,,,,,,,,,,,,,,
1992,,,002023.SZ,,,,,,,,,,,,,,,,
1993,,,002105.SZ,,,,,,,,,,,,,,,,
1994,,,002625.SZ,,,,,,,,,,,,,,,,
1995,,,002933.SZ,,,,,,,,,,,,,,,,
1996,,,002985.SZ,,,,,,,,,,,,,,,,
1997,,,003009.SZ,,,,,,,,,,,,,,,,
1998,,,300011.SZ,,,,,,,,,,,,,,,,
1999,,,300123.SZ,,,,,,,,,,,,,,,,
2000,,,300159.SZ,,,,,,,,,,,,,,,,
2001,,,300424.SZ,,,,,,,,,,,,,,,,
2002,,,300589.SZ,,,,,,,,,,,,,,,,
2003,,,300594.SZ,,,,,,,,,,,,,,,,
2004,,,300600.SZ,,,,,,,,,,,,,,,,
2005,,,300696.SZ,,,,,,,,,,,,,,,,
2006,,,300719.SZ,,,,,,,,,,,,,,,,
2007,,,300775.SZ,,,,,,,,,,,,,,,,
2008,,,300900.SZ,,,,,,,,,,,,,,,,
2009,,,300906.SZ,,,,,,,,,,,,,,,,
2010,,,300923.SZ,,,,,,,,,,,,,,,,
2011,,,300960.SZ,,,,,,,,,,,,,,,,
2012,,,300994.SZ,,,,,,,,,,,,,,,,
2013,,,301016.SZ,,,,,,,,,,,,,,,,
2014,,,301048.SZ,,,,,,,,,,,,,,,,
2015,,,600038.SH,,,,,,,,,,,,,,,,
2016,,,600099.SH,,,,,,,,,,,,,,,,
2017,,,600150.SH,,,,,,,,,,,,,,,,
2018,,,600316.SH,,,,,,,,,,,,,,,,
2019,,,600372.SH,,,,,,,,,,,,,,,,
2020,,,600391.SH,,,,,,,,,,,,,,,,
2021,,,600482.SH,,,,,,,,,,,,,,,,
2022,,,600495.SH,,,,,,,,,,,,,,,,
2023,,,600679.SH,,,,,,,,,,,,,,,,
2024,,,600685.SH,,,,,,,,,,,,,,,,
2025,,,600760.SH,,,,,,,,,,,,,,,,
2026,,,600765.SH,,,,,,,,,,,,,,,,
2027,,,600818.SH,,,,,,,,,,,,,,,,
2028,,,600862.SH,,,,,,,,,,,,,,,,
2029,,,600893.SH,,,,,,,,,,,,,,,,
2030,,,600967.SH,,,,,,,,,,,,,,,,
2031,,,601766.SH,,,,,,,,,,,,,,,,
2032,,,601890.SH,,,,,,,,,,,,,,,,
2033,,,601989.SH,,,,,,,,,,,,,,,,
2034,,,603111.SH,,,,,,,,,,,,,,,,
2035,,,603129.SH,,,,,,,,,,,,,,,,
2036,,,603500.SH,,,,,,,,,,,,,,,,
2037,,,603508.SH,,,,,,,,,,,,,,,,
2038,,,603529.SH,,,,,,,,,,,,,,,,
2039,,,603680.SH,,,,,,,,,,,,,,,,
2040,,,603766.SH,,,,,,,,,,,,,,,,
2041,,,603787.SH,,,,,,,,,,,,,,,,
2042,,,605001.SH,,,,,,,,,,,,,,,,
2043,,,605298.SH,,,,,,,,,,,,,,,,
2044,,,688009.SH,,,,,,,,,,,,,,,,
2045,,,688015.SH,,,,,,,,,,,,,,,,
2046,,,688033.SH,,,,,,,,,,,,,,,,
2047,,,688070.SH,,,,,,,,,,,,,,,,
2048,,,688187.SH,,,,,,,,,,,,,,,,
2049,,,688239.SH,,,,,,,,,,,,,,,,
2050,,,688367.SH,,,,,,,,,,,,,,,,
2051,,,688510.SH,,,,,,,,,,,,,,,,
2052,,,688569.SH,,,,,,,,,,,,,,,,
2053,,,688586.SH,,,,,,,,,,,,,,,,
2054,,,688685.SH,,,,,,,,,,,,,,,,
2055,,,000049.SZ,,,,,,,,,,,,,,,,
2056,,,000070.SZ,,,,,,,,,,,,,,,,
2057,,,000333.SZ,,,,,,,,,,,,,,,,
2058,,,000400.SZ,,,,,,,,,,,,,,,,
2059,,,000521.SZ,,,,,,,,,,,,,,,,
2060,,,000533.SZ,,,,,,,,,,,,,,,,
2061,,,000541.SZ,,,,,,,,,,,,,,,,
2062,,,000585.SZ,,,,,,,,,,,,,,,,
2063,,,000651.SZ,,,,,,,,,,,,,,,,
2064,,,000806.SZ,,,,,,,,,,,,,,,,
2065,,,000836.SZ,,,,,,,,,,,,,,,,
2066,,,000921.SZ,,,,,,,,,,,,,,,,
2067,,,000922.SZ,,,,,,,,,,,,,,,,
2068,,,001208.SZ,,,,,,,,,,,,,,,,
2069,,,002005.SZ,,,,,,,,,,,,,,,,
2070,,,002028.SZ,,,,,,,,,,,,,,,,
2071,,,002035.SZ,,,,,,,,,,,,,,,,
2072,,,002056.SZ,,,,,,,,,,,,,,,,
2073,,,002074.SZ,,,,,,,,,,,,,,,,
2074,,,002076.SZ,,,,,,,,,,,,,,,,
2075,,,002090.SZ,,,,,,,,,,,,,,,,
2076,,,002112.SZ,,,,,,,,,,,,,,,,
2077,,,002129.SZ,,,,,,,,,,,,,,,,
2078,,,002139.SZ,,,,,,,,,,,,,,,,
2079,,,002141.SZ,,,,,,,,,,,,,,,,
2080,,,002169.SZ,,,,,,,,,,,,,,,,
2081,,,002176.SZ,,,,,,,,,,,,,,,,
2082,,,002184.SZ,,,,,,,,,,,,,,,,
2083,,,002218.SZ,,,,,,,,,,,,,,,,
2084,,,002227.SZ,,,,,,,,,,,,,,,,
2085,,,002242.SZ,,,,,,,,,,,,,,,,
2086,,,002245.SZ,,,,,,,,,,,,,,,,
2087,,,002249.SZ,,,,,,,,,,,,,,,,
2088,,,002270.SZ,,,,,,,,,,,,,,,,
2089,,,002276.SZ,,,,,,,,,,,,,,,,
2090,,,002290.SZ,,,,,,,,,,,,,,,,
2091,,,002300.SZ,,,,,,,,,,,,,,,,
2092,,,002309.SZ,,,,,,,,,,,,,,,,
2093,,,002334.SZ,,,,,,,,,,,,,,,,
2094,,,002335.SZ,,,,,,,,,,,,,,,,
2095,,,002339.SZ,,,,,,,,,,,,,,,,
2096,,,002346.SZ,,,,,,,,,,,,,,,,
2097,,,002350.SZ,,,,,,,,,,,,,,,,
2098,,,002358.SZ,,,,,,,,,,,,,,,,
2099,,,002364.SZ,,,,,,,,,,,,,,,,
2100,,,002451.SZ,,,,,,,,,,,,,,,,
2101,,,002452.SZ,,,,,,,,,,,,,,,,
2102,,,002459.SZ,,,,,,,,,,,,,,,,
2103,,,002471.SZ,,,,,,,,,,,,,,,,
2104,,,002473.SZ,,,,,,,,,,,,,,,,
2105,,,002491.SZ,,,,,,,,,,,,,,,,
2106,,,002498.SZ,,,,,,,,,,,,,,,,
2107,,,002508.SZ,,,,,,,,,,,,,,,,
2108,,,002518.SZ,,,,,,,,,,,,,,,,
2109,,,002527.SZ,,,,,,,,,,,,,,,,
2110,,,002531.SZ,,,,,,,,,,,,,,,,
2111,,,002533.SZ,,,,,,,,,,,,,,,,
2112,,,002543.SZ,,,,,,,,,,,,,,,,
2113,,,002546.SZ,,,,,,,,,,,,,,,,
2114,,,002560.SZ,,,,,,,,,,,,,,,,
2115,,,002576.SZ,,,,,,,,,,,,,,,,
2116,,,002580.SZ,,,,,,,,,,,,,,,,
2117,,,002606.SZ,,,,,,,,,,,,,,,,
2118,,,002610.SZ,,,,,,,,,,,,,,,,
2119,,,002614.SZ,,,,,,,,,,,,,,,,
2120,,,002617.SZ,,,,,,,,,,,,,,,,
2121,,,002622.SZ,,,,,,,,,,,,,,,,
2122,,,002638.SZ,,,,,,,,,,,,,,,,
2123,,,002665.SZ,,,,,,,,,,,,,,,,
2124,,,002668.SZ,,,,,,,,,,,,,,,,
2125,,,002677.SZ,,,,,,,,,,,,,,,,
2126,,,002684.SZ,,,,,,,,,,,,,,,,
2127,,,002692.SZ,,,,,,,,,,,,,,,,
2128,,,002705.SZ,,,,,,,,,,,,,,,,
2129,,,002706.SZ,,,,,,,,,,,,,,,,
2130,,,002723.SZ,,,,,,,,,,,,,,,,
2131,,,002724.SZ,,,,,,,,,,,,,,,,
2132,,,002733.SZ,,,,,,,,,,,,,,,,
2133,,,002745.SZ,,,,,,,,,,,,,,,,
2134,,,002759.SZ,,,,,,,,,,,,,,,,
2135,,,002801.SZ,,,,,,,,,,,,,,,,
2136,,,002823.SZ,,,,,,,,,,,,,,,,
2137,,,002851.SZ,,,,,,,,,,,,,,,,
2138,,,002860.SZ,,,,,,,,,,,,,,,,
2139,,,002879.SZ,,,,,,,,,,,,,,,,
2140,,,002882.SZ,,,,,,,,,,,,,,,,
2141,,,002892.SZ,,,,,,,,,,,,,,,,
2142,,,002922.SZ,,,,,,,,,,,,,,,,
2143,,,002927.SZ,,,,,,,,,,,,,,,,
2144,,,002953.SZ,,,,,,,,,,,,,,,,
2145,,,002959.SZ,,,,,,,,,,,,,,,,
2146,,,003021.SZ,,,,,,,,,,,,,,,,
2147,,,003023.SZ,,,,,,,,,,,,,,,,
2148,,,300001.SZ,,,,,,,,,,,,,,,,
2149,,,300014.SZ,,,,,,,,,,,,,,,,
2150,,,300018.SZ,,,,,,,,,,,,,,,,
2151,,,300032.SZ,,,,,,,,,,,,,,,,
2152,,,300035.SZ,,,,,,,,,,,,,,,,
2153,,,300040.SZ,,,,,,,,,,,,,,,,
2154,,,300048.SZ,,,,,,,,,,,,,,,,
2155,,,300062.SZ,,,,,,,,,,,,,,,,
2156,,,300068.SZ,,,,,,,,,,,,,,,,
2157,,,300069.SZ,,,,,,,,,,,,,,,,
2158,,,300073.SZ,,,,,,,,,,,,,,,,
2159,,,300105.SZ,,,,,,,,,,,,,,,,
2160,,,300116.SZ,,,,,,,,,,,,,,,,
2161,,,300118.SZ,,,,,,,,,,,,,,,,
2162,,,300124.SZ,,,,,,,,,,,,,,,,
2163,,,300125.SZ,,,,,,,,,,,,,,,,
2164,,,300129.SZ,,,,,,,,,,,,,,,,
2165,,,300141.SZ,,,,,,,,,,,,,,,,
2166,,,300153.SZ,,,,,,,,,,,,,,,,
2167,,,300207.SZ,,,,,,,,,,,,,,,,
2168,,,300208.SZ,,,,,,,,,,,,,,,,
2169,,,300217.SZ,,,,,,,,,,,,,,,,
2170,,,300222.SZ,,,,,,,,,,,,,,,,
2171,,,300247.SZ,,,,,,,,,,,,,,,,
2172,,,300252.SZ,,,,,,,,,,,,,,,,
2173,,,300265.SZ,,,,,,,,,,,,,,,,
2174,,,300272.SZ,,,,,,,,,,,,,,,,
2175,,,300274.SZ,,,,,,,,,,,,,,,,
2176,,,300279.SZ,,,,,,,,,,,,,,,,
2177,,,300283.SZ,,,,,,,,,,,,,,,,
2178,,,300317.SZ,,,,,,,,,,,,,,,,
2179,,,300340.SZ,,,,,,,,,,,,,,,,
2180,,,300341.SZ,,,,,,,,,,,,,,,,
2181,,,300342.SZ,,,,,,,,,,,,,,,,
2182,,,300356.SZ,,,,,,,,,,,,,,,,
2183,,,300376.SZ,,,,,,,,,,,,,,,,
2184,,,300391.SZ,,,,,,,,,,,,,,,,
2185,,,300403.SZ,,,,,,,,,,,,,,,,
2186,,,300407.SZ,,,,,,,,,,,,,,,,
2187,,,300409.SZ,,,,,,,,,,,,,,,,
2188,,,300423.SZ,,,,,,,,,,,,,,,,
2189,,,300427.SZ,,,,,,,,,,,,,,,,
2190,,,300438.SZ,,,,,,,,,,,,,,,,
2191,,,300444.SZ,,,,,,,,,,,,,,,,
2192,,,300447.SZ,,,,,,,,,,,,,,,,
2193,,,300477.SZ,,,,,,,,,,,,,,,,
2194,,,300484.SZ,,,,,,,,,,,,,,,,
2195,,,300490.SZ,,,,,,,,,,,,,,,,
2196,,,300491.SZ,,,,,,,,,,,,,,,,
2197,,,300499.SZ,,,,,,,,,,,,,,,,
2198,,,300510.SZ,,,,,,,,,,,,,,,,
2199,,,300569.SZ,,,,,,,,,,,,,,,,
2200,,,300593.SZ,,,,,,,,,,,,,,,,
2201,,,300617.SZ,,,,,,,,,,,,,,,,
